全局序号,分类,分类内序号,等级,POI_ID,名称,子类,地址,经度,纬度,评分,价格/费用/余量,开放/服务时间,建议游览分钟,电话,标签,简介/用途,图片URL,动态字段,数据用途,选择分,备注
200,医院,,L3,1072,常熟市第五人民医院度假区院区,卫生院,寺路街15号,120.72626,31.667393,,,,,0512-52953319,卫生院、社区医院,常熟市第五人民医院度假区院区属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,73.977,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
201,医院,,L3,1104,常熟市梅李人民医院-急诊,综合医院,梅李人民医院2栋,120.872285,31.714033,,,24小时营业,,,综合医院、门诊,常熟市梅李人民医院-急诊属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,71.398,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
202,医院,,L3,1083,董浜中心卫生院(徐市院区),诊所,徐市街道,120.956623,31.671184,,,,,0512-52671825;0512-52671907,诊所、卫生院,董浜中心卫生院(徐市院区)属于诊所，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,68.211,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
203,医院,,L3,1091,常熟市支塘人民医院何市院区,卫生院,桂村大街60号,121.014653,31.637558,,,,,0512-52541108,卫生院、社区医院,常熟市支塘人民医院何市院区属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,66.298,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
204,医院,,L3,1108,虞山街道清和坊社区卫生服务站,卫生院,东胜街22号,120.746642,31.648022,,,08:00-11:00 13:30-16:00,,18662322237,卫生院、社区医院、虞山,虞山街道清和坊社区卫生服务站属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,60.699,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
205,医院,,L3,1132,虞山街道君子弄社区卫生服务站,卫生院,虞山镇君子弄53号,120.742868,31.635873,,,08:00-17:00,,0512-52706690,卫生院、社区医院、虞山,虞山街道君子弄社区卫生服务站属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,60.23,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
206,医院,,L3,1044,常熟东明医院,综合医院,虞山镇新颜东路2号,120.773846,31.644442,,,07:30-11:00 13:00-16:00,,0512-52921111,综合医院、虞山,常熟东明医院属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,60.21,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
207,医院,,L3,1056,常熟民慈医院,综合医院,元和路行灶桥尚湖东路入口处,120.724593,31.625971,,,周一至周五 07:00-19:00,,0512-52842019;0512-52846999;4009991709,综合医院、尚湖,常熟民慈医院属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,59.572,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
208,医院,,L3,1036,常熟东南医院,综合医院,虞山镇黄山路168号,120.804792,31.631891,,,08:00-21:00,,0512-52968001,综合医院、虞山,常熟东南医院属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,59.075,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
209,医院,,L3,1055,常熟市沙家浜卫生院,卫生院,湖滨路81号,120.780353,31.5591,,,07:30-11:00 13:00-16:00,,0512-52501181;0512-52501186,卫生院、沙家浜,常熟市沙家浜卫生院属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,57.202,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
210,医院,,L3,1109,尚湖镇吉桥村社区卫生服务站,卫生院,吉新路,120.626573,31.618837,,,07:30-11:00,,0512-52420339,卫生院、社区医院、尚湖,尚湖镇吉桥村社区卫生服务站属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,路线规划/应急服务主节点,56.605,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
211,医院,,L2,1190,常熟市中医院口腔医学中心,三级甲等医院,黄河路6号常熟市中医院(新区医院、妇保院),120.776739,31.680198,,,,,,三级甲等医院、口腔科、中医院,常熟市中医院口腔医学中心属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,153.7,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
212,医院,,L2,1217,常熟市第二人民医院海虞南路院区胸痛中心,三级甲等医院,常熟市第二人民医院海虞南路院区西2门旁,120.757922,31.648114,,,,,,三级甲等医院、门诊、第二人民医院,常熟市第二人民医院海虞南路院区胸痛中心属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.719,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
213,医院,,L2,1230,常熟市第二人民医院海虞南路院区急救中心,三级甲等医院,常熟市第二人民医院海虞南路院区西2门旁,120.757905,31.648019,,,,,,三级甲等医院、急救中心、第二人民医院,常熟市第二人民医院海虞南路院区急救中心属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.717,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
214,医院,,L2,1098,常熟市第二人民医院海虞南路院区急诊,三级甲等医院,海虞南路68号常熟市第二人民医院内,120.757855,31.647769,,,,,,三级甲等医院、门诊、第二人民医院,常熟市第二人民医院海虞南路院区急诊属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.71,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
215,医院,,L2,1082,常熟市第二人民医院海虞南路院区门诊部,三级甲等医院,常熟市第二人民医院海虞南路院区,120.757975,31.647375,,,,,,三级甲等医院、门诊、第二人民医院,常熟市第二人民医院海虞南路院区门诊部属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.695,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
216,医院,,L2,1146,常熟市第二人民医院海虞南路院区眼耳鼻咽喉口腔科门诊,三级甲等医院,常熟市第二人民医院海虞南路院区,120.75784,31.64718,,,,,,三级甲等医院、口腔科、第二人民医院,常熟市第二人民医院海虞南路院区眼耳鼻咽喉口腔科门诊属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.691,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
217,医院,,L2,1110,常熟市第二人民医院海虞南路院区皮肤科口腔科门诊,三级甲等医院,常熟市第二人民医院海虞南路院区,120.757944,31.646995,,,,,,三级甲等医院、口腔科、第二人民医院,常熟市第二人民医院海虞南路院区皮肤科口腔科门诊属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.683,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
218,医院,,L2,1210,常熟市第二人民医院海虞南路院区卒中中心,三级甲等医院,常熟市第二人民医院海虞南路院区北2门旁,120.759876,31.648308,,,,,,三级甲等医院、门诊、第二人民医院,常熟市第二人民医院海虞南路院区卒中中心属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.68,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
219,医院,,L2,1144,常熟市第五人民医院急诊,综合医院,虞山镇珠江路289号常熟市第五人民医院内,120.740883,31.663158,,,,,,综合医院、门诊、虞山,常熟市第五人民医院急诊属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.465,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
220,医院,,L2,1113,常熟市第五人民医院门诊,综合医院,虞山镇珠江路289号常熟市第五人民医院内,120.740615,31.663249,,,,,,综合医院、门诊、虞山,常熟市第五人民医院门诊属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.456,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
221,医院,,L2,1103,常熟市第五人民医院-皮肤医学美容中心,综合医院,虞山镇珠江路289号常熟市第五人民医院,120.74059,31.663339,,,,,,综合医院、医学美容、虞山,常熟市第五人民医院-皮肤医学美容中心属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,73.453,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
222,医院,,L2,1232,常熟市中医院发热门诊,三级甲等医院,黄河路常熟市中医院,120.774375,31.678725,,,,,,三级甲等医院、门诊、中医院,常熟市中医院发热门诊属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,72.793,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
223,医院,,L2,1087,常熟市中医院急诊,三级甲等医院,黄河路6号南京中医药大学常熟附属医院内,120.77594,31.679864,,,,,,三级甲等医院、中医医院、中医院,常熟市中医院急诊属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,72.727,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
224,医院,,L2,1086,常熟市第二人民医院台山路院区门诊部,三级甲等医院,常熟二院北部院区,120.738493,31.690352,,,,,,三级甲等医院、门诊、第二人民医院,常熟市第二人民医院台山路院区门诊部属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,72.502,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
225,医院,,L2,1172,常熟东南医院急诊,综合医院,虞山镇黄山路168号常熟东南医院,120.804838,31.632103,,,,,,综合医院、门诊、虞山,常熟东南医院急诊属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,72.077,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
226,医院,,L2,1220,常熟市第一人民医院辛庄医院胸痛中心,综合医院,辛庄镇新阳大道98号第一人民医院辛庄医院,120.661858,31.539661,,,,,,综合医院、门诊、第一人民医院,常熟市第一人民医院辛庄医院胸痛中心属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,68.633,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
227,医院,,L2,1096,常熟市第一人民医院滨江院区急诊中心,综合医院,永嘉路9号常熟市第一人民医院滨江院区,120.927661,31.73621,,,,,,综合医院、医疗保健服务、第一人民医院,常熟市第一人民医院滨江院区急诊中心属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,67.378,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
228,医院,,L2,1185,常熟琴湖惠民医院急诊,综合医院,常熟琴湖惠民医院西门旁,120.768527,31.638358,,,,,,综合医院、门诊,常熟琴湖惠民医院急诊属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,67.202,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
229,医院,,L2,1134,古里中心卫生院门诊,卫生院,古里镇铁琴北街166号常熟市古里人民医院,120.845378,31.634309,,,,,,卫生院、诊所,古里中心卫生院门诊属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,64.837,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
230,医院,,L2,1191,古里中心卫生院急诊,卫生院,古里镇铁琴北街166号常熟市古里人民医院,120.845593,31.633825,,,,,,卫生院,古里中心卫生院急诊属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,64.826,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
231,医院,,L2,1136,梅李人民医院门诊部,综合医院,常熟市梅李人民医院,120.872216,31.713482,,,,,,综合医院、门诊,梅李人民医院门诊部属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,63.411,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
232,医院,,L2,1127,梅李中心卫生院-住院部,卫生院,梅李人民医院3栋,120.871778,31.714212,,,,,,卫生院,梅李中心卫生院-住院部属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,63.409,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
233,医院,,L2,1068,辛庄中心卫生院,卫生院,辛庄镇新阳大道222号,120.662433,31.539748,,,,,,卫生院,辛庄中心卫生院属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,62.647,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
234,医院,,L2,1176,常熟市第二人民医院台山路院区急诊,三级甲等医院,台山路18号常熟市第二人民医院台山路院区,120.739191,31.691007,,,,,,三级甲等医院、门诊、第二人民医院,常熟市第二人民医院台山路院区急诊属于三级甲等医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,60.484,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
235,医院,,L2,1046,常熟广仁医院,综合医院,衡山路76-18号1幢101-301,120.76169,31.665529,,,07:30-21:00,,13348017501,综合医院、中医医院,常熟广仁医院属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,54.455,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
236,医院,,L2,1114,琴川街道漕泾社区卫生服务站,卫生院,珠江路与泰山南路交叉口西160米,120.765083,31.663927,,,07:45-11:00,,0512-52891475,卫生院、社区医院,琴川街道漕泾社区卫生服务站属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,54.431,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
237,医院,,L2,1048,常熟博爱医院,综合医院,长江路408号,120.743796,31.670584,,,07:30-16:30,,0512-52843999;0512-82359999,综合医院,常熟博爱医院属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,54.283,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
238,医院,,L2,1042,常熟琴湖惠民医院,综合医院,陶山路18号,120.768821,31.638083,,,09:00-21:00,,0512-52722219,综合医院,常熟琴湖惠民医院属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,54.188,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
239,医院,,L2,1051,常熟美迪柯医院,综合医院,长江路618号,120.731531,31.667559,,,07:00-15:00,,0512-50918888,综合医院,常熟美迪柯医院属于综合医院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,54.118,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
240,医院,,L2,1088,常熟市琴川街道兴隆社区卫生服务中心,卫生院,九里大街8号,120.782061,31.666728,,,07:30-11:00 12:30-16:00,,0512-52340661;0512-52347928,卫生院、社区医院,常熟市琴川街道兴隆社区卫生服务中心属于卫生院，用于紧急救援、就近医疗和路线安全提示。,,,搜索/候选展示/后续补全,53.905,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
241,停车场,,L3,163,尚湖风景区1号门停车场,景区停车场,景湖路1号尚湖风景区内(南侧),120.685225,31.63324,,总车位188，当前空位69,同尚湖风景区,,,停车、景区停车、尚湖、自驾,尚湖风景区1号门停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=188; free_slots=69; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,196.626,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
242,停车场,,L3,164,小云栖寺停车场,景区停车场,虞山南路石洞景区附近,120.685841,31.681368,,总车位74，当前空位21,全天,,,停车、虞山、景区停车、自驾,小云栖寺停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=74; free_slots=21; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,188.539,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
243,停车场,,L3,165,县后街道路停车位,道路停车位,常熟市县后街10号旁,120.752738,31.650099,,总车位54，当前空位41,以现场公示为准,,,停车、古城区、方塔园、道路停车,县后街道路停车位用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=54; free_slots=41; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,181.856,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
244,停车场,,L3,823,虞山城墙景区南门停车场,公共停车场,虞山城墙景区,120.73372,31.645978,,总车位136，当前空位52,24小时营业,,,公共停车场、地面停车场、虞山、南门、城墙、景区,虞山城墙景区南门停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=136; free_slots=52; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,181.301,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
245,停车场,,L3,166,常熟市政务服务中心地面停车场,公共停车场,常熟市香山北路9号,120.768655,31.653424,,总车位95，当前空位34,以现场公示为准,,,停车、公共停车、城区,常熟市政务服务中心地面停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=95; free_slots=34; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,179.471,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
246,停车场,,L3,1027,望虞台停车场,公共停车场,虞山尚湖旅游度假区常熟尚湖风景区串月桥堍1号望虞台茶文化餐厅,120.693401,31.642916,,总车位55，当前空位40,24小时营业,,,公共停车场、地面停车场、虞山、尚湖、景区、风景,望虞台停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=55; free_slots=40; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,178.99,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
247,停车场,,L3,856,尚湖风景区东南停车场,公共停车场,尚湖镇与虞山镇交界环湖南路尚湖风景区内(南侧),120.688853,31.638229,,总车位105，当前空位28,24小时营业,,,公共停车场、地面停车场、虞山、尚湖、景区、风景,尚湖风景区东南停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=105; free_slots=28; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,177.8,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
248,停车场,,L3,821,虞山风景区地面停车场,公共停车场,虞山镇虞山南路88号虞山风景区(东南角),120.738986,31.652328,,总车位195，当前空位68,24小时营业,,,公共停车场、地面停车场、虞山、景区、风景,虞山风景区地面停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=195; free_slots=68; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,171.542,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
249,停车场,,L3,846,赵园·曾园停车场,公共停车场,虞山镇九万圩曾赵园旁,120.736404,31.640839,,总车位76，当前空位55,24小时营业,,,公共停车场、停车场、虞山、曾园、赵园,赵园·曾园停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=76; free_slots=55; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,170.261,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
250,停车场,,L3,867,虞山风景区宝岩停车场,公共停车场,虞山南路宝岩景区-停车场内,120.695351,31.66396,,总车位246，当前空位174,,,0512-52783289,公共停车场、地面停车场、虞山、景区、风景,虞山风景区宝岩停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=246; free_slots=174; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,166.06,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
251,停车场,,L3,827,尚湖风景区2号停车场,公共停车场,环湖南路尚湖风景区(南侧),120.687329,31.637106,,总车位141，当前空位32,24小时营业,,,公共停车场、地面停车场、尚湖、景区、风景,尚湖风景区2号停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=141; free_slots=32; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,165.739,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
252,停车场,,L3,976,昆承湖景区停车场,公共停车场,虞山镇,120.764216,31.592107,,总车位134，当前空位38,24小时营业,,,公共停车场、地面停车场、虞山、昆承湖、景区,昆承湖景区停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=134; free_slots=38; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,164.569,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
253,停车场,,L3,826,沙家浜风景区停车场,公共停车场,沙家浜镇芦苇荡路沙家浜风景区(西南角),120.793314,31.549377,,总车位191，当前空位48,24小时营业,,,公共停车场、地面停车场、沙家浜、景区、风景,沙家浜风景区停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=191; free_slots=48; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,160.719,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
254,停车场,,L3,884,沙家浜风景区B区停车场,公共停车场,芦苇荡路沙家浜风景区(西南角),120.795529,31.549666,,总车位223，当前空位60,24小时营业,,,公共停车场、地面停车场、沙家浜、景区、风景,沙家浜风景区B区停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=223; free_slots=60; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,159.706,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
255,停车场,,L3,813,沙家浜风景区A区停车场,公共停车场,沙家浜镇,120.796377,31.549706,,总车位82，当前空位65,24小时营业,,,公共停车场、地面停车场、沙家浜、景区、风景,沙家浜风景区A区停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=82; free_slots=65; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,158.698,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
256,停车场,,L3,955,尚湖风景区拂水堤停车场,停车场相关,虞山街道尚湖风景区,120.694316,31.649721,,总车位220，当前空位114,,,,停车场相关、停车场、虞山、尚湖、景区、风景,尚湖风景区拂水堤停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=220; free_slots=114; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,157.059,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
257,停车场,,L3,1011,虞山国家森林公园剑门景区公交车停车场,专用停车场,虞山中路附近虞山国家森林公园剑门景区(东南角),120.70698,31.663903,,总车位143，当前空位90,24小时营业,,,专用停车场、地面停车场、虞山、景区、公园,虞山国家森林公园剑门景区公交车停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=143; free_slots=90; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,156.435,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
258,停车场,,L3,858,虞山公园地下停车场,公共停车场,北门大街虞山公园(东北角),120.739231,31.652011,,总车位185，当前空位82,07:30-21:30,,,公共停车场、地下停车场、虞山、公园,虞山公园地下停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=185; free_slots=82; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,155.548,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
259,停车场,,L3,872,虞山国家森林公园虞山门停车场,专用停车场,虞山镇北门大街21号虞山国家森林公园(东南角),120.734383,31.648089,,总车位190，当前空位45,24小时营业,,,专用停车场、地面停车场、虞山、公园,虞山国家森林公园虞山门停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=190; free_slots=45; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,154.354,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
260,停车场,,L3,911,虞山国家森林公园剑门景区停车点,公共停车场,虞山国家森林公园剑门景区,120.720868,31.665462,,总车位167，当前空位89,,,,公共停车场、停车场、虞山、景区、公园,虞山国家森林公园剑门景区停车点用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=167; free_slots=89; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,144.852,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
261,停车场,,L3,864,虞山文化旅游度假区虞山宝岩景区停车场,公共停车场,虞山南路宝岩生态观光园,120.69479,31.664183,,总车位128，当前空位20,24小时营业,,0512-52783289,公共停车场、地面停车场、虞山、景区,虞山文化旅游度假区虞山宝岩景区停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=128; free_slots=20; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,90.04,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
262,停车场,,L3,841,尚湖风景区1号停车场,专用停车场,景湖路1号尚湖风景区(西南角),120.683702,31.634277,,总车位197，当前空位68,24小时营业,,,专用停车场、地面停车场、尚湖、景区、风景,尚湖风景区1号停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=197; free_slots=68; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,88.591,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
263,停车场,,L3,973,虞山饭店停车场,公共停车场,北门大街8号虞山锦江饭店,120.74141,31.647446,,总车位89，当前空位34,24小时营业,,0512-52118888,公共停车场、地面停车场、虞山,虞山饭店停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=89; free_slots=34; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,85.552,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
264,停车场,,L3,832,天虹服装城地下停车场,公共停车场,虞山镇招商北路8号天虹服装城B2层,120.742496,31.628611,,总车位237，当前空位82,09:00-21:00,,0512-52231711,公共停车场、地下停车场、虞山,天虹服装城地下停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=237; free_slots=82; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,84.963,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
265,停车场,,L3,814,兴福禅寺地面停车场,公共停车场,虞山街道虞山北路寺路街148号兴福禅寺,120.720939,31.665363,,总车位203，当前空位143,24小时营业,,,公共停车场、地面停车场、虞山、兴福,兴福禅寺地面停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=203; free_slots=143; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,83.856,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
266,停车场,,L3,860,森林公园停车场,公共停车场,虞山南路与虞山中路交叉口西20米,120.689425,31.682196,,总车位85，当前空位61,24小时营业,,,公共停车场、地面停车场、虞山、公园,森林公园停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=85; free_slots=61; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,82.631,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
267,停车场,,L3,954,尚湖风景区大巴停车场,专用停车场,景湖路1号尚湖风景区(西南角),120.683703,31.634277,,总车位94，当前空位38,,,,专用停车场、地面停车场、尚湖、景区、风景,尚湖风景区大巴停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=94; free_slots=38; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,80.591,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
268,停车场,,L3,816,方塔园停车场,公共停车场,环城东路28-1号附近,120.749939,31.645299,,总车位91，当前空位35,24小时营业,,,公共停车场、停车场、方塔,方塔园停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=91; free_slots=35; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,78.657,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
269,停车场,,L3,950,虞城大酒店停车场,公共停车场,虞山镇海虞南路68号,120.757651,31.645799,,总车位104，当前空位69,24小时营业,,,公共停车场、地面停车场、虞山,虞城大酒店停车场用于自驾停车、景区接驳或周边停车余位展示。,,total_slots=104; free_slots=69; updated_at=2026-07-08 14:22:10,路线规划/应急服务主节点,78.648,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
